Year,Province,District,Latitude,Longitude,Elevation,Month,Cases,Temp_avg,Precipitation_avg,Humidity_avg,Population,Date,Cases_per_1000,Prev_Cases,Case_Growth_Rate,Month_encoded,Month_sin,Month_cos
2019,Eastern,Ampara,7.275923,81.693474,38,1,132,25.28571428571429,3.878571428571428,82.17857142857143,,2019-01-01,0.0,,0.0,1,0.49999999999999994,0.8660254037844387
2019,Eastern,Ampara,7.275923,81.693474,38,2,112,26.237499999999997,5.310714285714285,85.28571428571429,,2019-02-01,0.0,132.0,-0.15151515151515152,2,0.8660254037844386,0.5000000000000001
2019,Eastern,Ampara,7.275923,81.693474,38,3,152,27.33392857142857,1.1178571428571429,80.75,,2019-03-01,0.0,112.0,0.35714285714285715,3,1.0,6.123233995736766e-17
2019,Eastern,Ampara,7.275923,81.693474,38,4,104,28.9,1.7642857142857142,78.92857142857143,,2019-04-01,0.0,152.0,-0.3157894736842105,4,0.8660254037844387,-0.4999999999999998
2019,Eastern,Ampara,7.275923,81.693474,38,5,78,30.76071428571429,0.8035714285714286,68.32142857142857,,2019-05-01,0.0,104.0,-0.25,5,0.49999999999999994,-0.8660254037844387
2019,Eastern,Ampara,7.275923,81.693474,38,6,72,31.714285714285715,1.892857142857143,62.892857142857146,,2019-06-01,0.0,78.0,-0.07692307692307693,6,1.2246467991473532e-16,-1.0
2019,Eastern,Ampara,7.275923,81.693474,38,7,55,31.458928571428576,1.5357142857142858,62.035714285714285,,2019-07-01,0.0,72.0,-0.2361111111111111,7,-0.4999999999999997,-0.8660254037844388
2019,Eastern,Ampara,7.275923,81.693474,38,8,66,30.62857142857143,2.2642857142857142,66.5,,2019-08-01,0.0,55.0,0.2,8,-0.8660254037844385,-0.5000000000000004
2019,Eastern,Ampara,7.275923,81.693474,38,9,53,29.46785714285714,7.628571428571429,74.46428571428571,,2019-09-01,0.0,66.0,-0.19696969696969696,9,-1.0,-1.8369701987210297e-16
2019,Eastern,Ampara,7.275923,81.693474,38,10,83,26.478571428571424,14.614285714285716,88.5,,2019-10-01,0.0,53.0,0.5660377358490566,10,-0.8660254037844386,0.5000000000000001
2019,Eastern,Ampara,7.275923,81.693474,38,11,432,26.72678571428571,8.207142857142857,87.14285714285714,,2019-11-01,0.0,83.0,4.204819277108434,11,-0.5000000000000004,0.8660254037844384
2019,Eastern,Ampara,7.275923,81.693474,38,12,569,25.880357142857143,11.099999999999998,89.21428571428571,,2019-12-01,0.0,432.0,0.31712962962962965,12,-2.4492935982947064e-16,1.0
2020,Eastern,Ampara,7.275923,81.693474,38,1,682,25.955357142857142,2.510714285714286,83.03571428571429,,2020-01-01,0.0,569.0,0.19859402460456943,1,0.49999999999999994,0.8660254037844387
2020,Eastern,Ampara,7.275923,81.693474,38,2,316,26.29464285714285,1.907142857142857,79.92857142857143,,2020-02-01,0.0,682.0,-0.5366568914956011,2,0.8660254037844386,0.5000000000000001
2020,Eastern,Ampara,7.275923,81.693474,38,3,78,27.58571428571429,0.5285714285714286,77.67857142857143,,2020-03-01,0.0,316.0,-0.7531645569620253,3,1.0,6.123233995736766e-17
2020,Eastern,Ampara,7.275923,81.693474,38,4,33,28.730357142857144,2.1142857142857148,78.71428571428571,,2020-04-01,0.0,78.0,-0.5769230769230769,4,0.8660254037844387,-0.4999999999999998
2020,Eastern,Ampara,7.275923,81.693474,38,5,17,29.435714285714283,5.610714285714288,80.35714285714286,,2020-05-01,0.0,33.0,-0.48484848484848486,5,0.49999999999999994,-0.8660254037844387
2020,Eastern,Ampara,7.275923,81.693474,38,6,27,30.43571428571429,2.1821428571428574,70.92857142857143,,2020-06-01,0.0,17.0,0.5882352941176471,6,1.2246467991473532e-16,-1.0
2020,Eastern,Ampara,7.275923,81.693474,38,7,17,29.621428571428567,2.521428571428572,72.57142857142857,,2020-07-01,0.0,27.0,-0.37037037037037035,7,-0.4999999999999997,-0.8660254037844388
2020,Eastern,Ampara,7.275923,81.693474,38,8,25,30.82857142857143,0.5999999999999999,64.64285714285714,,2020-08-01,0.0,17.0,0.47058823529411764,8,-0.8660254037844385,-0.5000000000000004
2020,Eastern,Ampara,7.275923,81.693474,38,9,43,29.65535714285714,3.528571428571429,72.21428571428571,,2020-09-01,0.0,25.0,0.72,9,-1.0,-1.8369701987210297e-16
2020,Eastern,Ampara,7.275923,81.693474,38,10,33,30.4375,1.6964285714285714,66.32142857142857,,2020-10-01,0.0,43.0,-0.23255813953488372,10,-0.8660254037844386,0.5000000000000001
2020,Eastern,Ampara,7.275923,81.693474,38,11,14,26.94642857142857,9.117857142857142,86.57142857142857,,2020-11-01,0.0,33.0,-0.5757575757575758,11,-0.5000000000000004,0.8660254037844384
2020,Eastern,Ampara,7.275923,81.693474,38,12,12,25.857142857142858,9.553571428571429,86.96428571428571,,2020-12-01,0.0,14.0,-0.14285714285714285,12,-2.4492935982947064e-16,1.0
2021,Eastern,Ampara,7.275923,81.693474,38,1,31,25.480357142857137,9.264285714285714,87.32142857142857,,2021-01-01,0.0,12.0,1.5833333333333333,1,0.49999999999999994,0.8660254037844387
2021,Eastern,Ampara,7.275923,81.693474,38,2,35,25.721428571428568,2.6678571428571423,83.32142857142857,,2021-02-01,0.0,31.0,0.12903225806451613,2,0.8660254037844386,0.5000000000000001
2021,Eastern,Ampara,7.275923,81.693474,38,3,68,26.473214285714285,4.903571428571429,83.89285714285714,,2021-03-01,0.0,35.0,0.9428571428571428,3,1.0,6.123233995736766e-17
2021,Eastern,Ampara,7.275923,81.693474,38,4,72,28.196428571428573,2.6214285714285714,82.17857142857143,,2021-04-01,0.0,68.0,0.058823529411764705,4,0.8660254037844387,-0.4999999999999998
2021,Eastern,Ampara,7.275923,81.693474,38,5,43,28.66964285714285,4.389285714285714,80.67857142857143,,2021-05-01,0.0,72.0,-0.4027777777777778,5,0.49999999999999994,-0.8660254037844387
2021,Eastern,Ampara,7.275923,81.693474,38,6,33,29.644642857142856,2.0250000000000004,71.64285714285714,,2021-06-01,0.0,43.0,-0.23255813953488372,6,1.2246467991473532e-16,-1.0
2021,Eastern,Ampara,7.275923,81.693474,38,7,12,30.142857142857142,3.146428571428572,68.25,,2021-07-01,0.0,33.0,-0.6363636363636364,7,-0.4999999999999997,-0.8660254037844388
2021,Eastern,Ampara,7.275923,81.693474,38,8,2,29.83392857142857,2.967857142857143,71.17857142857143,,2021-08-01,0.0,12.0,-0.8333333333333334,8,-0.8660254037844385,-0.5000000000000004
2021,Eastern,Ampara,7.275923,81.693474,38,9,9,29.89285714285714,3.925,71.5,,2021-09-01,0.0,2.0,3.5,9,-1.0,-1.8369701987210297e-16
2021,Eastern,Ampara,7.275923,81.693474,38,10,13,28.349999999999994,6.007142857142858,78.85714285714286,,2021-10-01,0.0,9.0,0.4444444444444444,10,-0.8660254037844386,0.5000000000000001
2021,Eastern,Ampara,7.275923,81.693474,38,11,23,26.608928571428574,14.33214285714286,88.0,,2021-11-01,0.0,13.0,0.7692307692307693,11,-0.5000000000000004,0.8660254037844384
2021,Eastern,Ampara,7.275923,81.693474,38,12,81,25.89107142857143,4.075,83.67857142857143,,2021-12-01,0.0,23.0,2.5217391304347827,12,-2.4492935982947064e-16,1.0
2019,North central,Anuradhapura,8.330404,80.42882,95,1,64,24.989285714285717,0.3607142857142856,79.75,,2019-01-01,0.0,,0.0,1,0.49999999999999994,0.8660254037844387
2019,North central,Anuradhapura,8.330404,80.42882,95,2,53,26.819642857142867,2.946428571428572,80.64285714285714,,2019-02-01,0.0,64.0,-0.171875,2,0.8660254037844386,0.5000000000000001
2019,North central,Anuradhapura,8.330404,80.42882,95,3,51,28.996428571428574,0.3928571428571428,70.5,,2019-03-01,0.0,53.0,-0.03773584905660377,3,1.0,6.123233995736766e-17
2019,North central,Anuradhapura,8.330404,80.42882,95,4,34,29.746428571428574,3.7035714285714287,74.35714285714286,,2019-04-01,0.0,51.0,-0.3333333333333333,4,0.8660254037844387,-0.4999999999999998
2019,North central,Anuradhapura,8.330404,80.42882,95,5,36,29.753571428571423,0.5285714285714287,74.35714285714286,,2019-05-01,0.0,34.0,0.058823529411764705,5,0.49999999999999994,-0.8660254037844387
2019,North central,Anuradhapura,8.330404,80.42882,95,6,62,29.769642857142856,0.575,73.35714285714286,,2019-06-01,0.0,36.0,0.7222222222222222,6,1.2246467991473532e-16,-1.0
